order_date,order_id,region,channel,category,product,units,unit_price,discount_rate,returned,shipping_days
2024-01-08,ORD-000074,East,Direct,Electronics,Smart Watch,2,389.35,0,0,2
2024-01-28,ORD-000075,East,Direct,Electronics,Earbuds,4,202.23,0,0,3
2024-01-01,ORD-000076,East,Direct,Home,Desk Lamp,10,86.41,0.15,0,2
2024-01-10,ORD-000077,East,Direct,Home,Storage Box,3,50.73,0.05,0,1
2024-01-27,ORD-000078,East,Direct,Home,Storage Box,12,49.04,0.05,0,2
2024-01-10,ORD-000079,East,Direct,Beauty,Hair Dryer,3,226.32,0,0,5
2024-01-05,ORD-000080,East,Direct,Beauty,Skin Care Set,6,158.5,0,0,4
2024-01-03,ORD-000081,East,Direct,Beauty,Skin Care Set,7,151.75,0.1,0,3
2024-01-02,ORD-000082,East,Direct,Sports,Fitness Band,1,78.61,0,0,4
2024-01-08,ORD-000083,East,Direct,Sports,Yoga Mat,11,98.06,0.05,0,4
2024-01-12,ORD-000084,East,Direct,Sports,Fitness Band,2,75.97,0.05,0,3
2024-01-18,ORD-000085,East,Direct,Sports,Fitness Band,4,76.52,0,0,3
2024-01-03,ORD-000086,East,Social,Electronics,Earbuds,7,194.54,0,0,3
2024-01-26,ORD-000087,East,Social,Electronics,Earbuds,10,195.71,0.1,0,4
2024-01-25,ORD-000088,East,Social,Electronics,Earbuds,10,195.35,0.1,0,4
2024-01-24,ORD-000089,East,Social,Home,Desk Lamp,9,92.42,0,0,4
2024-01-27,ORD-000090,East,Social,Home,Storage Box,4,47.08,0.15,0,3
2024-01-10,ORD-000091,East,Social,Home,Desk Lamp,10,90.33,0,0,1
2024-01-25,ORD-000092,East,Social,Home,Storage Box,11,50.03,0.15,0,4
2024-01-05,ORD-000093,East,Social,Home,Storage Box,7,48.05,0.1,0,5
2024-01-18,ORD-000094,East,Social,Beauty,Skin Care Set,5,164.43,0,0,4
2024-01-13,ORD-000095,East,Social,Beauty,Hair Dryer,4,235.54,0.1,0,3
2024-01-10,ORD-000096,East,Social,Beauty,Skin Care Set,2,166.25,0.05,0,4
2024-01-28,ORD-000097,East,Social,Beauty,Hair Dryer,8,221.37,0,0,4
2024-01-26,ORD-000098,East,Social,Beauty,Hair Dryer,8,229.72,0.1,0,3
2024-01-13,ORD-000099,East,Social,Beauty,Skin Care Set,1,153.89,0.1,0,5
2024-01-14,ORD-000100,East,Social,Sports,Yoga Mat,3,100.48,0.05,0,4
2024-01-09,ORD-000101,East,Social,Sports,Yoga Mat,5,94.41,0.15,0,3
2024-01-09,ORD-000102,East,Social,Sports,Fitness Band,5,75.08,0,0,4
2024-01-17,ORD-000103,East,Social,Sports,Yoga Mat,11,102.02,0,0,3
2024-01-05,ORD-000104,East,Social,Sports,Fitness Band,12,77.25,0,0,5
2024-01-27,ORD-000105,North,Marketplace,Electronics,Earbuds,8,202.98,0,0,3
2024-01-07,ORD-000106,North,Marketplace,Electronics,Smart Watch,6,379.88,0,0,3
2024-01-02,ORD-000107,North,Marketplace,Electronics,Earbuds,11,201.63,0,0,6
2024-01-17,ORD-000108,North,Marketplace,Electronics,Earbuds,7,192.91,0,0,3
2024-01-05,ORD-000109,North,Marketplace,Home,Desk Lamp,3,89.93,0.05,0,4
2024-01-08,ORD-000110,North,Marketplace,Home,Desk Lamp,4,90.49,0.05,0,5
2024-01-25,ORD-000111,North,Marketplace,Home,Desk Lamp,10,85.98,0.1,0,3
2024-01-02,ORD-000112,North,Marketplace,Home,Storage Box,2,46.55,0.1,0,5
2024-01-18,ORD-000113,North,Marketplace,Beauty,Hair Dryer,7,235.86,0.05,0,1
2024-01-06,ORD-000114,North,Marketplace,Beauty,Skin Care Set,6,162.91,0.15,0,5
2024-01-18,ORD-000115,North,Marketplace,Beauty,Hair Dryer,3,237.05,0.1,0,4
2024-01-10,ORD-000116,North,Marketplace,Beauty,Skin Care Set,5,160.06,0.15,0,2
2024-01-10,ORD-000117,North,Marketplace,Beauty,Skin Care Set,2,152.4,0,0,5
2024-01-27,ORD-000118,North,Marketplace,Sports,Fitness Band,9,77.68,0,0,1
2024-01-19,ORD-000119,North,Marketplace,Sports,Fitness Band,7,82.03,0.05,0,3
2024-01-03,ORD-000120,North,Marketplace,Sports,Yoga Mat,3,100.45,0.05,0,3
2024-01-20,ORD-000121,North,Marketplace,Sports,Fitness Band,11,81.17,0.05,0,2
2024-01-15,ORD-000122,North,Marketplace,Sports,Yoga Mat,9,94.3,0.05,0,4
2024-01-07,ORD-000123,North,Direct,Electronics,Earbuds,7,195.41,0.15,0,3
2024-01-21,ORD-000124,North,Direct,Electronics,Smart Watch,10,397.81,0.05,0,1
2024-01-16,ORD-000125,North,Direct,Electronics,Smart Watch,3,406.58,0,0,2
2024-01-03,ORD-000126,North,Direct,Electronics,Smart Watch,10,385.94,0.1,0,3
2024-01-16,ORD-000127,North,Direct,Electronics,Smart Watch,12,379.79,0,0,4
2024-01-07,ORD-000128,North,Direct,Electronics,Earbuds,8,193.58,0.1,0,4
2024-01-17,ORD-000129,North,Direct,Home,Storage Box,10,50.34,0.05,0,3
2024-01-13,ORD-000130,North,Direct,Home,Storage Box,6,49.57,0.15,0,6
2024-01-19,ORD-000131,North,Direct,Home,Desk Lamp,1,86.75,0.1,0,1
2024-01-14,ORD-000132,North,Direct,Home,Desk Lamp,7,87.75,0.05,0,2
2024-01-03,ORD-000133,North,Direct,Home,Storage Box,8,47.92,0.15,0,3
2024-01-25,ORD-000134,North,Direct,Home,Desk Lamp,6,91.51,0,0,3
2024-01-09,ORD-000135,North,Direct,Beauty,Hair Dryer,10,237.73,0.15,0,3
2024-01-21,ORD-000136,North,Direct,Beauty,Skin Care Set,6,153.45,0.05,0,4
2024-01-18,ORD-000137,North,Direct,Beauty,Hair Dryer,1,221.46,0,0,4
2024-01-26,ORD-000138,North,Direct,Beauty,Skin Care Set,12,155.81,0,0,1
2024-01-16,ORD-000139,North,Direct,Beauty,Hair Dryer,8,232.28,0.1,0,1
2024-01-03,ORD-000140,North,Direct,Beauty,Hair Dryer,9,232.93,0,0,3
2024-01-24,ORD-000141,North,Direct,Sports,Yoga Mat,7,99.94,0,0,2
2024-01-12,ORD-000142,North,Direct,Sports,Yoga Mat,6,100.53,0.05,0,4
2024-01-24,ORD-000143,North,Direct,Sports,Yoga Mat,3,97.33,0.1,0,5
2024-01-17,ORD-000144,North,Social,Electronics,Smart Watch,8,389.19,0.15,0,4
2024-01-02,ORD-000145,North,Social,Electronics,Smart Watch,10,386.04,0.05,1,4
2024-01-11,ORD-000146,North,Social,Electronics,Smart Watch,1,411.91,0,0,1
2024-01-08,ORD-000147,North,Social,Electronics,Smart Watch,4,414.17,0.15,0,5
2024-01-13,ORD-000148,North,Social,Electronics,Earbuds,8,195.01,0.05,0,5
2024-01-08,ORD-000149,North,Social,Home,Storage Box,9,47.57,0,0,4
2024-01-02,ORD-000150,North,Social,Home,Storage Box,8,48.01,0.05,0,3
2024-01-11,ORD-000151,North,Social,Home,Desk Lamp,6,92.49,0.1,0,5
2024-01-17,ORD-000152,North,Social,Home,Desk Lamp,11,92.39,0,0,4
2024-01-08,ORD-000153,North,Social,Beauty,Hair Dryer,7,227.67,0,0,3
2024-01-25,ORD-000154,North,Social,Beauty,Hair Dryer,10,228.71,0,0,3
2024-01-08,ORD-000155,North,Social,Beauty,Skin Care Set,5,153.56,0.1,0,3
2024-01-09,ORD-000156,North,Social,Beauty,Skin Care Set,5,165.6,0,0,5
2024-01-20,ORD-000157,North,Social,Beauty,Hair Dryer,8,219.08,0.05,0,1
2024-01-11,ORD-000158,North,Social,Beauty,Hair Dryer,10,236.71,0.15,0,5
2024-01-22,ORD-000159,North,Social,Sports,Yoga Mat,4,94.38,0.15,0,4
2024-01-12,ORD-000160,North,Social,Sports,Fitness Band,3,75.65,0.1,0,2
2024-01-15,ORD-000161,North,Social,Sports,Fitness Band,2,81.63,0.1,0,2
2024-01-09,ORD-000162,West,Marketplace,Electronics,Smart Watch,10,412.65,0.15,0,6
2024-01-18,ORD-000163,West,Marketplace,Electronics,Earbuds,10,201.77,0,0,3
2024-01-10,ORD-000164,West,Marketplace,Electronics,Earbuds,4,196.26,0,0,5
2024-01-24,ORD-000165,West,Marketplace,Home,Desk Lamp,12,86.59,0.15,0,2
2024-01-13,ORD-000166,West,Marketplace,Home,Storage Box,10,49.45,0.05,0,3
2024-01-02,ORD-000167,West,Marketplace,Home,Desk Lamp,7,89.98,0,0,3
2024-01-25,ORD-000168,West,Marketplace,Beauty,Hair Dryer,12,225.13,0,0,2
2024-01-10,ORD-000169,West,Marketplace,Beauty,Hair Dryer,1,232.12,0,0,2
2024-01-11,ORD-000170,West,Marketplace,Beauty,Skin Care Set,5,155.92,0.15,0,3
2024-01-16,ORD-000171,West,Marketplace,Beauty,Hair Dryer,12,235.97,0,0,1
2024-01-15,ORD-000172,West,Marketplace,Beauty,Skin Care Set,5,166.12,0.1,0,3
2024-01-14,ORD-000173,West,Marketplace,Beauty,Hair Dryer,1,229.39,0,0,3
2024-01-03,ORD-000174,West,Marketplace,Sports,Fitness Band,6,75.94,0.05,1,1
2024-01-18,ORD-000175,West,Marketplace,Sports,Fitness Band,6,82.01,0.15,0,2
2024-01-06,ORD-000176,West,Marketplace,Sports,Fitness Band,10,79.94,0,0,3
2024-01-03,ORD-000177,West,Direct,Electronics,Smart Watch,6,382.41,0,0,2
2024-01-17,ORD-000178,West,Direct,Electronics,Earbuds,6,201.63,0.15,0,3
2024-01-07,ORD-000179,West,Direct,Electronics,Earbuds,11,206.96,0.15,0,5
2024-01-14,ORD-000180,West,Direct,Electronics,Smart Watch,6,414.25,0.05,0,4
2024-01-12,ORD-000181,West,Direct,Home,Desk Lamp,2,85.47,0.05,0,3
2024-01-01,ORD-000182,West,Direct,Home,Desk Lamp,8,88.56,0,0,4
2024-01-20,ORD-000183,West,Direct,Home,Desk Lamp,9,91.03,0,0,4
2024-01-04,ORD-000184,West,Direct,Home,Storage Box,7,47.58,0,0,3
2024-01-18,ORD-000185,West,Direct,Home,Storage Box,2,49.85,0.05,0,3
2024-01-17,ORD-000186,West,Direct,Beauty,Skin Care Set,4,161.23,0.15,0,4
2024-01-28,ORD-000187,West,Direct,Beauty,Skin Care Set,12,164.99,0,0,5
2024-01-28,ORD-000188,West,Direct,Beauty,Hair Dryer,10,228.86,0.05,0,3
2024-01-27,ORD-000189,West,Direct,Beauty,Hair Dryer,3,238.32,0.1,0,4
2024-01-01,ORD-000190,West,Direct,Beauty,Skin Care Set,8,160.69,0.1,1,3
2024-01-16,ORD-000191,West,Direct,Sports,Fitness Band,9,75.12,0.05,0,1
2024-01-13,ORD-000192,West,Direct,Sports,Yoga Mat,1,101.12,0,0,5
2024-01-18,ORD-000193,West,Direct,Sports,Yoga Mat,11,98.88,0.05,0,3
2024-01-26,ORD-000194,West,Social,Electronics,Smart Watch,1,416.05,0.05,0,1
2024-01-15,ORD-000195,West,Social,Electronics,Earbuds,2,204.1,0,0,3
2024-01-06,ORD-000196,West,Social,Electronics,Earbuds,8,189.17,0,0,2
2024-01-28,ORD-000197,West,Social,Electronics,Earbuds,9,199.78,0.15,0,3
2024-01-18,ORD-000198,West,Social,Home,Storage Box,2,50.51,0,0,4
2024-01-23,ORD-000199,West,Social,Home,Desk Lamp,10,89.12,0.1,0,2
2024-01-02,ORD-000200,West,Social,Home,Desk Lamp,2,85.74,0.05,0,4
2024-01-08,ORD-000201,West,Social,Home,Storage Box,11,49.43,0.05,0,3
2024-01-10,ORD-000202,West,Social,Home,Desk Lamp,4,87.59,0.1,0,3
2024-01-22,ORD-000203,West,Social,Beauty,Hair Dryer,9,235.36,0.05,0,4
2024-01-21,ORD-000204,West,Social,Beauty,Hair Dryer,10,234.68,0.1,0,2
2024-01-01,ORD-000205,West,Social,Beauty,Skin Care Set,3,151.38,0.15,0,5
2024-01-04,ORD-000206,West,Social,Sports,Yoga Mat,4,99.45,0,0,4
2024-01-23,ORD-000207,West,Social,Sports,Fitness Band,8,82.1,0.1,0,1
2024-01-16,ORD-000208,West,Social,Sports,Yoga Mat,9,95.03,0.05,0,7
2024-02-07,ORD-000209,South,Marketplace,Electronics,Smart Watch,1,409.71,0.15,0,2
2024-02-26,ORD-000210,South,Marketplace,Electronics,Smart Watch,6,397.52,0,0,4
2024-02-17,ORD-000211,South,Marketplace,Electronics,Smart Watch,4,410.83,0,0,5
2024-02-15,ORD-000212,South,Marketplace,Electronics,Earbuds,3,201.48,0.15,0,2
2024-02-04,ORD-000213,South,Marketplace,Electronics,Earbuds,1,204.28,0.05,0,6
2024-02-12,ORD-000214,South,Marketplace,Electronics,Smart Watch,3,395.18,0.1,0,5
2024-02-06,ORD-000215,South,Marketplace,Home,Desk Lamp,10,92.5,0,0,6
2024-02-28,ORD-000216,South,Marketplace,Home,Storage Box,2,49.07,0,0,1
2024-02-22,ORD-000217,South,Marketplace,Home,Storage Box,6,50.13,0,0,4
2024-02-19,ORD-000218,South,Marketplace,Home,Storage Box,4,50.99,0.05,0,3
2024-02-06,ORD-000219,South,Marketplace,Beauty,Skin Care Set,11,155.85,0.1,0,4
2024-02-07,ORD-000220,South,Marketplace,Beauty,Hair Dryer,5,222.25,0.05,0,4
2024-02-12,ORD-000221,South,Marketplace,Beauty,Skin Care Set,12,161.08,0.15,0,5
2024-02-08,ORD-000222,South,Marketplace,Sports,Fitness Band,4,77.39,0,0,4
2024-02-26,ORD-000223,South,Marketplace,Sports,Fitness Band,11,76.76,0,0,3
2024-02-22,ORD-000224,South,Marketplace,Sports,Yoga Mat,9,103.56,0.05,0,3
2024-02-11,ORD-000225,South,Marketplace,Sports,Fitness Band,7,79.41,0,0,4
2024-02-24,ORD-000226,South,Direct,Electronics,Smart Watch,8,396.58,0,0,4
2024-02-15,ORD-000227,South,Direct,Electronics,Smart Watch,3,408.69,0,0,3
2024-02-07,ORD-000228,South,Direct,Electronics,Earbuds,4,191.79,0.05,0,4
2024-02-27,ORD-000229,South,Direct,Electronics,Earbuds,3,196.02,0,0,6
2024-02-08,ORD-000230,South,Direct,Home,Desk Lamp,4,84.71,0.15,0,4
2024-02-22,ORD-000231,South,Direct,Home,Desk Lamp,8,85.08,0.15,0,4
2024-02-24,ORD-000232,South,Direct,Home,Storage Box,5,50.94,0.15,0,4
2024-02-25,ORD-000233,South,Direct,Beauty,Hair Dryer,4,229.38,0.1,0,2
2024-02-24,ORD-000234,South,Direct,Beauty,Skin Care Set,7,158.84,0,1,3
2024-02-06,ORD-000235,South,Direct,Beauty,Hair Dryer,7,231.93,0.1,0,5
2024-02-15,ORD-000236,South,Direct,Beauty,Skin Care Set,7,164.19,0.15,0,4
2024-02-21,ORD-000237,South,Direct,Beauty,Hair Dryer,5,227.07,0.1,0,5
2024-02-22,ORD-000238,South,Direct,Sports,Fitness Band,3,75.76,0.1,0,4
2024-02-03,ORD-000239,South,Direct,Sports,Fitness Band,2,81.84,0,1,5
2024-02-11,ORD-000240,South,Direct,Sports,Yoga Mat,11,101.63,0,0,5
2024-02-03,ORD-000241,South,Social,Electronics,Earbuds,8,189.08,0,0,3
2024-02-23,ORD-000242,South,Social,Electronics,Smart Watch,12,391.34,0.15,0,2
2024-02-06,ORD-000243,South,Social,Electronics,Smart Watch,11,393.24,0.1,0,2
2024-02-15,ORD-000244,South,Social,Electronics,Earbuds,11,190.01,0,0,3
2024-02-06,ORD-000245,South,Social,Electronics,Earbuds,1,192.28,0,0,3
2024-02-05,ORD-000246,South,Social,Electronics,Smart Watch,2,414.63,0.1,0,3
2024-02-17,ORD-000247,South,Social,Home,Desk Lamp,12,91.0,0.05,0,4
2024-02-13,ORD-000248,South,Social,Home,Desk Lamp,3,90.64,0,0,5
2024-02-24,ORD-000249,South,Social,Home,Desk Lamp,9,90.63,0.15,0,3
2024-02-22,ORD-000250,South,Social,Home,Desk Lamp,11,90.26,0,0,4
2024-02-26,ORD-000251,South,Social,Home,Storage Box,12,47.84,0,0,3
2024-02-01,ORD-000252,South,Social,Home,Desk Lamp,1,91.15,0,0,4
2024-02-22,ORD-000253,South,Social,Beauty,Hair Dryer,6,217.6,0.05,0,3
2024-02-25,ORD-000254,South,Social,Beauty,Hair Dryer,4,233.97,0,0,3
2024-02-08,ORD-000255,South,Social,Beauty,Hair Dryer,9,220.37,0,0,4
2024-02-14,ORD-000256,South,Social,Sports,Yoga Mat,4,100.11,0.15,1,2
2024-02-20,ORD-000257,South,Social,Sports,Yoga Mat,2,96.54,0.15,0,4
2024-02-05,ORD-000258,South,Social,Sports,Fitness Band,1,78.17,0,0,4
2024-02-02,ORD-000259,South,Social,Sports,Yoga Mat,4,102.45,0.1,0,8
2024-02-23,ORD-000260,South,Social,Sports,Yoga Mat,8,99.73,0.1,0,6
2024-02-26,ORD-000261,South,Social,Sports,Fitness Band,12,81.49,0.1,0,3
2024-02-26,ORD-000262,East,Marketplace,Electronics,Earbuds,10,197.97,0.15,0,4
2024-02-06,ORD-000263,East,Marketplace,Electronics,Earbuds,2,192.49,0,0,5
2024-02-07,ORD-000264,East,Marketplace,Electronics,Earbuds,2,199.45,0.15,0,2
2024-02-21,ORD-000265,East,Marketplace,Electronics,Smart Watch,5,406.52,0,0,4
2024-02-20,ORD-000266,East,Marketplace,Home,Storage Box,1,51.43,0.1,1,7
2024-02-24,ORD-000267,East,Marketplace,Home,Desk Lamp,2,90.3,0.1,0,3
2024-02-21,ORD-000268,East,Marketplace,Home,Storage Box,6,47.04,0,0,5
2024-02-16,ORD-000269,East,Marketplace,Home,Storage Box,11,47.39,0.1,0,4
2024-02-07,ORD-000270,East,Marketplace,Beauty,Hair Dryer,5,232.81,0.05,0,3
2024-02-27,ORD-000271,East,Marketplace,Beauty,Hair Dryer,5,235.66,0.05,0,1
2024-02-10,ORD-000272,East,Marketplace,Beauty,Skin Care Set,1,157.69,0.1,0,1
2024-02-07,ORD-000273,East,Marketplace,Beauty,Skin Care Set,11,164.64,0.15,0,2
2024-02-25,ORD-000274,East,Marketplace,Beauty,Hair Dryer,2,230.63,0.15,0,3
2024-02-07,ORD-000275,East,Marketplace,Beauty,Skin Care Set,1,161.08,0,0,2
2024-02-02,ORD-000276,East,Marketplace,Sports,Yoga Mat,10,100.53,0.15,0,5
2024-02-17,ORD-000277,East,Marketplace,Sports,Yoga Mat,10,101.82,0.15,0,1
2024-02-23,ORD-000278,East,Marketplace,Sports,Fitness Band,5,75.36,0,0,5
2024-02-20,ORD-000279,East,Marketplace,Sports,Fitness Band,10,78.44,0,0,5
2024-02-24,ORD-000280,East,Marketplace,Sports,Fitness Band,7,80.09,0,0,3
2024-02-23,ORD-000281,East,Marketplace,Sports,Yoga Mat,1,96.35,0.05,0,3
2024-02-27,ORD-000282,East,Direct,Electronics,Earbuds,2,191.64,0.15,0,4
2024-02-28,ORD-000283,East,Direct,Electronics,Smart Watch,2,404.53,0.1,0,2
2024-02-10,ORD-000284,East,Direct,Electronics,Smart Watch,7,413.92,0,0,1
2024-02-23,ORD-000285,East,Direct,Home,Storage Box,8,50.38,0.05,0,1
2024-02-17,ORD-000286,East,Direct,Home,Desk Lamp,7,85.9,0,1,5
2024-02-18,ORD-000287,East,Direct,Home,Storage Box,2,47.32,0.1,0,2
2024-02-22,ORD-000288,East,Direct,Home,Storage Box,8,48.75,0.1,0,4
2024-02-17,ORD-000289,East,Direct,Home,Desk Lamp,8,87.46,0.15,0,3
2024-02-17,ORD-000290,East,Direct,Beauty,Skin Care Set,1,157.47,0,0,3
2024-02-12,ORD-000291,East,Direct,Beauty,Skin Care Set,11,153.31,0,0,5
2024-02-10,ORD-000292,East,Direct,Beauty,Skin Care Set,1,156.33,0,0,5
2024-02-08,ORD-000293,East,Direct,Beauty,Hair Dryer,12,229.19,0.1,0,3
2024-02-16,ORD-000294,East,Direct,Beauty,Hair Dryer,7,235.27,0.05,0,5
2024-02-21,ORD-000295,East,Direct,Sports,Fitness Band,7,75.99,0,0,1
2024-02-28,ORD-000296,East,Direct,Sports,Fitness Band,11,78.48,0,0,2
2024-02-27,ORD-000297,East,Direct,Sports,Fitness Band,10,78.98,0.15,0,3
2024-02-07,ORD-000298,East,Direct,Sports,Yoga Mat,12,99.69,0,0,2
2024-02-24,ORD-000299,East,Social,Electronics,Smart Watch,12,408.96,0.05,0,3
2024-02-25,ORD-000300,East,Social,Electronics,Smart Watch,9,389.82,0.1,0,5
2024-02-22,ORD-000301,East,Social,Electronics,Smart Watch,7,418.72,0.1,0,4
2024-02-05,ORD-000302,East,Social,Electronics,Earbuds,10,196.43,0,0,2
2024-02-18,ORD-000303,East,Social,Home,Desk Lamp,11,86.67,0,0,5
2024-02-26,ORD-000304,East,Social,Home,Desk Lamp,3,87.46,0.1,0,4
2024-02-22,ORD-000305,East,Social,Home,Desk Lamp,11,93.01,0,0,2
2024-02-02,ORD-000306,East,Social,Home,Storage Box,10,48.32,0,0,3
2024-02-23,ORD-000307,East,Social,Beauty,Skin Care Set,1,152.27,0.15,0,6
2024-02-26,ORD-000308,East,Social,Beauty,Hair Dryer,1,237.3,0,0,2
2024-02-02,ORD-000309,East,Social,Beauty,Skin Care Set,11,158.35,0.15,0,3
